scrip_code,symbol
544498,OVAL
544497,AHCL
544496,VIKRAN
544495,NISMGMT
544494,GLOBTIER
544493,MANUFGBEES
544492,MEIL
544491,GEMAROMA
544490,SHREEJISPG
544489,LGT
544488,VIKRAMSOLR
544487,PATELRMART
544485,REGAAL
544484,BLUESTONE
544483,ICODEX
544482,STARIMAGIN
544481,KRT
544480,JSWCEMENT
544479,ALLTIME
544477,HILINFRA
544476,JSLL
544475,ESSEX
544474,BLT
544473,GROWWPOWER
544472,MEHUL
544471,TAKYON
544470,MBEL
544469,LOTUSDEV
544468,BDI
544467,NSDL
544466,CPPLUS
544465,LAXMIINDIA
544464,UML
544463,REPONO
544462,PSTITANIA
544461,EUROBOND
544460,PATELCHEM
544459,SHANTIGOLD
544458,SHREEREF
544457,BRIGHOTEL
544456,RMDRIP
544455,EBGNG
544454,INDIQUBE
544453,MSECL
544452,SWASTIKAAL
544451,MONIKA
544450,CHEMBONDCH
544449,ANTHEM
544448,PASHUPATI
544447,SMARTWORKS
544446,ADVENTHTL
544445,APL
544444,GLEN
544443,TRAVELFOOD
544442,CHEMKART
544441,METAINFO
544440,CRYOGENIC
544439,CRIZAC
544438,INTERNET
544437,MARCLOIRE
544436,VANDAN
544435,ADCOUNTY
544434,NEETUYOSHI
544433,VALINDIA
544432,IGCL
544431,ACEALPHA
544430,SAMBHV
544429,HDBFS
544428,SEVL
544427,TOP15IETF
544426,ICON
544425,AJCJEWEL
544424,GLOBECIVIL
544423,KALPATARU
544422,ABRFL
544421,ELLEN
544420,RAYMONDREL
544419,ARIS
544418,OSWALPUMPS
544417,ATENPAPERS
544416,KRISHIVAL
544415,SNXT30BEES
544414,BLUSPRING
544413,DIGITIDE
544412,3BFILMS
544411,SCODATUBES
544410,PROSTARM
544409,ASTONEALAB
544408,THELEELA
544407,AEGISVOPAK
544406,UNIFIED
544405,BELRISE
544404,BORANA
544403,ABLBL
544402,JASH
544401,EQUAL50
544400,MANOJJEWEL
544399,SRIGEE
544398,KENRIK
544397,ATHERENERG
544396,NPST
544395,STLNETWORK
544394,EVIETF
544393,INFONATIVE
544392,SPINAROO
544391,RETAGGIO
544390,ENRIN
544388,IDENTIXWEB
544387,DESCO
544386,SPECTRUM
544385,SBIBPB
544383,PPARIVAH
544382,AXISVALUE
544381,SUPERIRON
544379,PRABHA
544378,PSPL
544377,EQUAL200
544376,SELECTIPO
544374,ROADSTAR
544373,NAPSGLOBAL
544372,SHREENATH
544371,VIKRAMAR
544370,NUKLEUS
544369,BEEZAASAN
544368,SWASTH
544367,QPOWER
544366,LKMEHTA
544365,SHANMUGA
544364,BAJAJINDEF
544362,HEXT
544361,COVANCE
544356,AJAXENGG
544355,JUBLCPL
544354,SOLARIUM
544353,AMWILL
544352,NEXT30ADD
544351,MALPANI
544350,AGARWALEYE
